FileName;Group;ShortName;Colors;Batch
GSM3730337_A1-LT_1Wk.CEL;CTL;CTL.1;aquamarine3;1
GSM3730338_A2-LT_1Wk.CEL;CTL;CTL.2;aquamarine3;2
GSM3730339_A3-LT_1Wk.CEL;CTL;CTL.3;aquamarine3;1
GSM3730340_A4-LT_1Wk.CEL;CTL;CTL.4;aquamarine3;2
GSM3730341_B1-LT_1Wk.CEL;PD1;PD1.1;firebrick;1
GSM3730342_B2-LT_1Wk.CEL;PD1;PD1.2;firebrick;2
GSM3730343_B3-LT_1Wk.CEL;PD1;PD1.3;firebrick;1
GSM3730344_B4-LT_1Wk.CEL;PD1;PD1.4;firebrick;2
GSM3730345_E1-LT_1Wk.CEL;CMP;CMP.1;chartreuse3;1
GSM3730346_E2-LT_1Wk.CEL;CMP;CMP.2;chartreuse3;2
GSM3730347_E4-LT_1Wk.CEL;CMP;CMP.3;chartreuse3;1
GSM3730348_E5-LT_1Wk.CEL;CMP;CMP.4;chartreuse3;2
